Customer ID,Name,Gender,Country,Age,Signup Date,Email,Status
CUST0172,Customer_172,F,USA,,2024-09-16,user172@example.com,Active
CUST0055,Customer_55,M,,68.0,14/08/2023,user55@example.com,Active
CUST0173,Customer_173,F,United States,53.0,05-26-2018,user173@example.com,Active
CUST0033,Customer_33,male,,18.0,07-06-2022,user33@example.com,Active
CUST0180,Customer_180,Male,IND,46.0,11/09/2017,user180@example.com,Active
CUST0054,Customer_54,,U.S.,,2024-09-04,user54@example.com,Inactive
CUST0107,Customer_107,female,India,49.0,08-08-2015,user107@example.com,Active
CUST0108,Customer_108,Female,IND,,2020-01-16,user108@example.com,Inactive
CUST0091,Customer_91,,United Kingdom,52.0,24/01/2025,user91@example.com,Inactive
CUST0086,Customer_86,Male,USA,58.0,2015-11-10,user86@example.com,Active
CUST0030,Customer_30,F,United Kingdom,42.0,2017-03-06,user30@example.com,Inactive
CUST0044,Customer_44,M,USA,,03/11/2015,user44@example.com,Active
CUST0136,Customer_136,female,U.S.,,06-20-2020,user136@example.com,Active
CUST0082,Customer_82,Male,India,,15/06/2024,user82@example.com,Active
CUST0073,Customer_73,male,India,,11-25-2016,user73@example.com,Active
CUST0056,Customer_56,male,India,60.0,10-21-2018,user56@example.com,Active
CUST0040,Customer_40,Female,India,,17/03/2020,user40@example.com,Inactive
CUST0004,Customer_4,M,U.S.,69.0,2017-08-28,user4@example.com,Inactive
CUST0164,Customer_164,Female,IND,,05/12/2015,user164@example.com,Inactive
CUST0079,Customer_79,Female,U.S.,,2022-05-11,user79@example.com,Inactive
CUST0137,Customer_137,F,IND,,18/01/2020,user137@example.com,Active
CUST0009,Customer_9,Male,,35.0,15/07/2020,user9@example.com,Inactive
CUST0049,Customer_49,Male,United States,,2016-06-18,user49@example.com,Inactive
CUST0070,Customer_70,male,United Kingdom,66.0,11-29-2022,user70@example.com,Active
CUST0061,Customer_61,F,United States,27.0,18/08/2017,user61@example.com,Inactive
CUST0113,Customer_113,female,USA,47.0,04-28-2025,user113@example.com,Active
CUST0088,Customer_88,M,United States,,12/09/2017,user88@example.com,Active
CUST0065,Customer_65,Male,United Kingdom,58.0,2018-10-09,user65@example.com,Inactive
CUST0134,Customer_134,M,IND,48.0,12-22-2018,user134@example.com,Inactive
CUST0178,Customer_178,male,UK,,2017-08-01,user178@example.com,Inactive
CUST0071,Customer_71,,UK,,02-07-2016,user71@example.com,Active
CUST0195,Customer_195,F,UK,,15/11/2022,user195@example.com,Inactive
CUST0078,Customer_78,female,United Kingdom,,04/03/2018,user78@example.com,Inactive
CUST0135,Customer_135,Female,United Kingdom,54.0,2019-12-27,user135@example.com,Active
CUST0014,Customer_14,male,India,,08-24-2024,user14@example.com,Active
CUST0064,Customer_64,F,United Kingdom,,2020-07-26,user64@example.com,Active
CUST0011,Customer_11,female,United States,42.0,24/08/2022,user11@example.com,Inactive
CUST0133,Customer_133,female,India,33.0,02-17-2022,user133@example.com,Active
CUST0015,Customer_15,F,USA,70.0,06-02-2018,user15@example.com,Inactive
CUST0105,Customer_105,Female,,,2019-04-27,user105@example.com,Active
CUST0000,Customer_0,female,U.S.,60.0,07-15-2017,user0@example.com,Inactive
CUST0124,Customer_124,,United States,34.0,09/11/2023,user124@example.com,Active
CUST0035,Customer_35,,India,,2022-10-15,user35@example.com,Inactive
CUST0121,Customer_121,,United States,,26/10/2020,user121@example.com,Active
CUST0012,Customer_12,male,UK,48.0,2024-03-13,user12@example.com,Inactive
CUST0030,Customer_30,F,United Kingdom,42.0,2017-03-06,user30@example.com,Inactive
CUST0072,Customer_72,M,United States,32.0,2018-11-23,user72@example.com,Inactive
CUST0090,Customer_90,female,U.S.,,12-26-2020,user90@example.com,Inactive
CUST0141,Customer_141,Female,USA,55.0,2021-11-13,user141@example.com,Active
CUST0094,Customer_94,M,India,62.0,06/03/2024,user94@example.com,Active
CUST0028,Customer_28,female,India,,02-06-2019,user28@example.com,Active
CUST0168,Customer_168,female,India,,06-13-2018,user168@example.com,Active
CUST0093,Customer_93,Female,,,25/08/2022,user93@example.com,Inactive
CUST0042,Customer_42,F,USA,,03-31-2022,user42@example.com,Inactive
CUST0148,Customer_148,M,UK,,02-23-2021,user148@example.com,Inactive
CUST0116,Customer_116,Female,U.S.,,2020-04-20,user116@example.com,Active
CUST0039,Customer_39,,USA,,09-30-2017,user39@example.com,Active
CUST0087,Customer_87,F,USA,,12/10/2021,user87@example.com,Active
CUST0025,Customer_25,Female,IND,,06/07/2020,user25@example.com,Inactive
CUST0157,Customer_157,male,IND,,2017-05-17,user157@example.com,Active
CUST0161,Customer_161,Male,United States,38.0,09-06-2021,user161@example.com,Active
CUST0186,Customer_186,,United States,,10/07/2019,user186@example.com,Inactive
CUST0077,Customer_77,Male,U.S.,,03-14-2020,user77@example.com,Inactive
CUST0153,Customer_153,F,U.S.,,2021-10-03,user153@example.com,Inactive
CUST0022,Customer_22,male,U.S.,,08-11-2016,user22@example.com,Active
CUST0046,Customer_46,Female,United States,61.0,10/11/2022,user46@example.com,Inactive
CUST0076,Customer_76,Male,,,2016-12-02,user76@example.com,Active
CUST0131,Customer_131,Female,India,33.0,2022-06-25,user131@example.com,Inactive
CUST0080,Customer_80,,IND,,30/11/2018,user80@example.com,Active
CUST0140,Customer_140,F,United States,37.0,31/03/2021,user140@example.com,Inactive
CUST0057,Customer_57,M,,,03-26-2016,user57@example.com,Active
CUST0106,Customer_106,male,U.S.,44.0,01/04/2022,user106@example.com,Inactive
CUST0024,Customer_24,male,U.S.,34.0,18/03/2021,user24@example.com,Inactive
CUST0017,Customer_17,Male,United States,60.0,10-21-2023,user17@example.com,Inactive
CUST0120,Customer_120,,United States,38.0,26/07/2017,user120@example.com,Inactive
